Step,Grid,Goal,Move
14,"[1, 0, 3, 7, 4, 5, 8, 6, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
15,"[1, 3, 0, 7, 4, 5, 8, 6, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
16,"[1, 3, 5, 7, 4, 0, 8, 6, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
17,"[1, 3, 5, 7, 4, 2, 8, 6, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
18,"[1, 3, 5, 7, 4, 2, 8, 0, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
19,"[1, 3, 5, 7, 4, 2, 0, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
20,"[1, 3, 5, 0, 4, 2, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
21,"[1, 3, 5, 4, 0, 2, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
22,"[1, 3, 5, 4, 2, 0, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
23,"[1, 3, 0, 4, 2, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
24,"[1, 0, 3, 4, 2, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
25,"[1, 2, 3, 4, 0, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
26,"[1, 2, 3, 4, 5, 0, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
27,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up

1,"[7, 6, 2, 4, 0, 8, 5, 3, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
2,"[7, 6, 2, 4, 3, 8, 5, 0, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[7, 6, 2, 4, 3, 8, 5, 1, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
4,"[7, 6, 2, 4, 3, 0, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
5,"[7, 6, 2, 4, 0, 3, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
6,"[7, 0, 2, 4, 6, 3, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
7,"[7, 2, 0, 4, 6, 3, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
8,"[7, 2, 3, 4, 6, 0, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
9,"[7, 2, 3, 4, 0, 6, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
10,"[7, 2, 3, 0, 4, 6, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
11,"[0, 2, 3, 7, 4, 6, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
12,"[2, 0, 3, 7, 4, 6, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
13,"[2, 4, 3, 7, 0, 6, 5, 1, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
14,"[2, 4, 3, 7, 1, 6, 5, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
15,"[2, 4, 3, 7, 1, 6, 0, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
16,"[2, 4, 3, 0, 1, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
17,"[2, 4, 3, 1, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
